渠道,产品名称,品牌,产品大类,重量(克),商品价¥,含税价¥,克单价¥/g,500g单价¥,20支成本¥
花店,阿姆斯特丹/Amsterdamer Bright Virginia 30g装,Amsterdamer/阿姆斯特丹,烟丝,30.0,25.74,38.61,1.29,645.0,18.98
花店,Bragilian Spirit Classic 20g装,Bragilian Spirit/,烟丝,20.0,22.464,33.7,1.69,845.0,23.78
花店,Bragilian Spirit American Blend 20g装,Bragilian Spirit/,烟丝,20.0,22.464,33.7,1.69,845.0,23.78
花店,Bragilian Spirit Dark Fired 20g装,Bragilian Spirit/,烟丝,20.0,22.464,33.7,1.69,845.0,23.78
花店,Bragilian Spirit Virginia Blend 20g装,Bragilian Spirit/,烟丝,20.0,22.464,33.7,1.69,845.0,23.78
花店,IROHA 30g装,IROHA/,烟丝,30.0,35.1,52.65,1.75,875.0,24.5
花店,RYTUA Jatim 25g装,RYTUA/,烟丝,25.0,30.42,45.63,1.83,915.0,25.46
花店,RYTUA Zambesi 25g装,RYTUA/,烟丝,25.0,30.42,45.63,1.83,915.0,25.46
花店,大江戸刻 OH·EDO KIZAMI 30g装,大江户刻/,烟丝,30.0,77.22,115.83,3.86,1930.0,49.82
花店,宝船 Gold 20g装,宝船/,烟丝,20.0,27.612,41.42,2.07,1035.0,28.34
花店,宝船 20g装,宝船/,烟丝,20.0,27.612,41.42,2.07,1035.0,28.34
花店,小粹 10g装,小粹/,烟丝,10.0,28.08,42.12,4.21,2105.0,54.02
花店,松风 30g装,松风/,烟丝,30.0,38.844,58.27,1.94,970.0,26.78
nov,Crooner (Bulk),Cornell & Diehl,烟斗丝,28.3,29.5365,44.3,1.57,785.0,22.34
nov,Crooner (Bulk),Cornell & Diehl,烟斗丝,56.7,57.3755,86.06,1.52,760.0,21.74
nov,Crooner (Bulk),Cornell & Diehl,烟斗丝,113.4,108.3005,162.45,1.43,715.0,20.66
nov,Crooner (Bulk),Cornell & Diehl,烟斗丝,226.8,203.3605,305.04,1.34,670.0,19.58
nov,Crooner (Bulk),Cornell & Diehl,烟斗丝,453.6,375.1475,562.72,1.24,620.0,18.38
nov,Nutty Irishman (Bulk),Cornell & Diehl,烟斗丝,28.3,29.5365,44.3,1.57,785.0,22.34
nov,Nutty Irishman (Bulk),Cornell & Diehl,烟斗丝,56.7,57.3755,86.06,1.52,760.0,21.74
nov,Nutty Irishman (Bulk),Cornell & Diehl,烟斗丝,113.4,108.3005,162.45,1.43,715.0,20.66
nov,Nutty Irishman (Bulk),Cornell & Diehl,烟斗丝,226.8,203.3605,305.04,1.34,670.0,19.58
nov,Nutty Irishman (Bulk),Cornell & Diehl,烟斗丝,453.6,375.1475,562.72,1.24,620.0,18.38
nov,Pegasus (Bulk),Cornell & Diehl,烟斗丝,28.3,29.5365,44.3,1.57,785.0,22.34
nov,Pegasus (Bulk),Cornell & Diehl,烟斗丝,56.7,57.3755,86.06,1.52,760.0,21.74
nov,Pegasus (Bulk),Cornell & Diehl,烟斗丝,113.4,108.3005,162.45,1.43,715.0,20.66
nov,Pegasus (Bulk),Cornell & Diehl,烟斗丝,226.8,203.3605,305.04,1.34,670.0,19.58
nov,Pegasus (Bulk),Cornell & Diehl,烟斗丝,453.6,375.1475,562.72,1.24,620.0,18.38
nov,Balkan Supreme (Bulk),Arango,烟斗丝,28.3,28.8575,43.29,1.53,765.0,21.86
nov,Balkan Supreme (Bulk),Arango,烟斗丝,56.7,53.9805,80.97,1.43,715.0,20.66
nov,Balkan Supreme (Bulk),Arango,烟斗丝,113.4,102.4611,153.69,1.36,680.0,19.82
nov,Balkan Supreme (Bulk),Arango,烟斗丝,226.8,191.0706,286.61,1.26,630.0,18.62
nov,Balkan Supreme (Bulk),Arango,烟斗丝,453.6,362.9255,544.39,1.2,600.0,17.9
nov,PS402 Luxury Twist Flake (Bulk),Peter Stokkebye,烟斗丝,28.3,40.4005,60.6,2.14,1070.0,29.18
nov,PS402 Luxury Twist Flake (Bulk),Peter Stokkebye,烟斗丝,56.7,76.048,114.07,2.01,1005.0,27.62
nov,PS402 Luxury Twist Flake (Bulk),Peter Stokkebye,烟斗丝,113.4,143.6085,215.41,1.9,950.0,26.3
nov,PS402 Luxury Twist Flake (Bulk),Peter Stokkebye,烟斗丝,226.8,267.9334,401.9,1.77,885.0,24.74
nov,PS402 Luxury Twist Flake (Bulk),Peter Stokkebye,烟斗丝,453.6,512.9166,769.37,1.7,850.0,23.9
nov,PS402 Luxury Twist Flake (Bulk),Peter Stokkebye,烟斗丝,680.4,737.8014,1106.7,1.63,815.0,23.06
nov,PS400 Luxury Navy Flake (Bulk),Peter Stokkebye,烟斗丝,28.3,32.7957,49.19,1.74,870.0,24.38
nov,PS400 Luxury Navy Flake (Bulk),Peter Stokkebye,烟斗丝,56.7,61.6532,92.48,1.63,815.0,23.06
nov,PS400 Luxury Navy Flake (Bulk),Peter Stokkebye,烟斗丝,113.4,116.4485,174.67,1.54,770.0,21.98
