id,name,brand,category,price,goods_type,goods_type_name,ftype,url
97,喜力/Hi-lite 薄荷 10mg,Hi-lite/喜力,日本香烟,520,1,单品,1,https://ribenyan.com/index.php?m=goods&a=list&brand=11&goods_type=1&ftype=1
67,希望/Hope 原味 14mg 10支 硬盒,Hope/希望,日本香烟,300,1,单品,1,https://ribenyan.com/index.php?m=goods&a=list&brand=10&goods_type=1&ftype=1
69,希望/Hope 淡味 9mg 10支 硬盒,Hope/希望,日本香烟,300,1,单品,1,https://ribenyan.com/index.php?m=goods&a=list&brand=10&goods_type=1&ftype=1
71,希望/Hope 超淡 6mg 10支 硬盒,Hope/希望,日本香烟,300,1,单品,1,https://ribenyan.com/index.php?m=goods&a=list&brand=10&goods_type=1&ftype=1
85,梅比乌斯/MEVIUS Premium薄荷 紫色爆珠 8mg 硬盒,MEVIUS/梅比乌斯,日本香烟,580,1,单品,1,https://ribenyan.com/index.php?m=goods&a=list&brand=2&goods_type=1&ftype=1
25,梅比乌斯/MEVIUS Premium薄荷 紫色爆珠 5mg 硬盒,MEVIUS/梅比乌斯,日本香烟,580,1,单品,1,https://ribenyan.com/index.php?m=goods&a=list&brand=2&goods_type=1&ftype=1
41,梅比乌斯/MEVIUS E系列 薄荷 紫色爆珠 5mg 长支 细支,MEVIUS/梅比乌斯,日本香烟,500,1,单品,1,https://ribenyan.com/index.php?m=goods&a=list&brand=2&goods_type=1&ftype=1
27,梅比乌斯/MEVIUS Premium薄荷 黄色爆珠 5mg 硬盒,MEVIUS/梅比乌斯,日本香烟,580,1,单品,1,https://ribenyan.com/index.php?m=goods&a=list&brand=2&goods_type=1&ftype=1
9,梅比乌斯/MEVIUS 特淡 3mg 软盒,MEVIUS/梅比乌斯,日本香烟,580,1,单品,1,https://ribenyan.com/index.php?m=goods&a=list&brand=2&goods_type=1&ftype=1
2,梅比乌斯/MEVIUS RICH 12mg 软盒,MEVIUS/梅比乌斯,日本香烟,580,1,单品,1,https://ribenyan.com/index.php?m=goods&a=list&brand=2&goods_type=1&ftype=1
6,梅比乌斯/MEVIUS 超淡 6mg 软盒,MEVIUS/梅比乌斯,日本香烟,580,1,单品,1,https://ribenyan.com/index.php?m=goods&a=list&brand=2&goods_type=1&ftype=1
16,梅比乌斯/MEVIUS 1mg 软盒,MEVIUS/梅比乌斯,日本香烟,580,1,单品,1,https://ribenyan.com/index.php?m=goods&a=list&brand=2&goods_type=1&ftype=1
4,梅比乌斯/MEVIUS 10mg 软盒,MEVIUS/梅比乌斯,日本香烟,580,1,单品,1,https://ribenyan.com/index.php?m=goods&a=list&brand=2&goods_type=1&ftype=1
1011,梅比乌斯/MEVIUS E系列 12mg 硬盒,MEVIUS/梅比乌斯,日本香烟,500,1,单品,1,https://ribenyan.com/index.php?m=goods&a=list&brand=2&goods_type=1&ftype=1
